,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
160,726,2,0.0007708149029535353,0.08024711196814684,0.0,1,0,0.2222222222222222,"Lloyd, D.",outandin
1,1194,1,0.00011233535436460801,0.06829668576291277,0.0,2,0,0.2222222222222222,"Verbeek, K.",incoming
114,146,2,0.00011233535436460801,0.06829668576291277,0.0,2,0,0.2222222222222222,"Buchin, K.",outandin
214,334,2,0.0005658091386062926,0.0688090389944425,0.0,2,0,0.2222222222222222,"Filzmoser, P.",outandin
442,83,1,0.0015618204054139856,0.08067057957747743,0.0,2,0,0.2222222222222222,"Beecham, R.",incoming
203,54,2,0.002311450317605687,0.08074159241161254,0.0,3,0,0.2222222222222222,"Badawood, D.",outandin
284,735,2,0.0006286411154849714,0.068860697432126,0.0,3,0,0.2222222222222222,"Lundervold, A.",outandin
285,736,2,0.0006286411154849714,0.068860697432126,0.0,3,0,0.2222222222222222,"Lundervold, A.J.",outandin
371,15,1,0.00035971024284908764,0.068860697432126,0.0,3,0,0.2222222222222222,"Aigner, W.",incoming
372,27,1,0.00035971024284908764,0.068860697432126,0.0,3,0,0.2222222222222222,"Alsallakh, B.",incoming
373,789,3,0.00035971024284908764,0.068860697432126,0.0,3,0,0.2222222222222222,"Miksch, S.",incoming
471,941,2,0.0009911801518707173,0.08081273037849501,0.0,3,0,0.2222222222222222,"Reimer, A.",outandin
472,1333,2,0.0009911801518707173,0.08081273037849501,0.0,3,0,0.2222222222222222,"van Goethem, A.",outandin
0,1085,1,0.0010115952662684005,0.08095538303582686,0.0035056967572304996,5,0,0.2222222222222222,"Speckmann, B.",incoming
213,1178,1,0.0027814711843166507,0.08145865806358069,0.002575017737156212,7,0,0.2222222222222222,"Turkay, C.",incoming
249,123,2,0.0067944058513348445,0.10829096691805414,0.006970652707475038,7,0,0.2222222222222222,"Boukhelifa, N.",outandin
250,545,2,0.0067944058513348445,0.10829096691805414,0.006970652707475038,7,0,0.2222222222222222,"Isenberg, T.",outgoing
338,267,2,0.004620534307683541,0.08109854021184071,0.0,8,0,0.2222222222222222,"Dillingham, I.",outandin
339,285,2,0.004620534307683541,0.08109854021184071,0.0,8,0,0.2222222222222222,"Dove, G.",outandin
340,294,2,0.004620534307683541,0.08109854021184071,0.0,8,0,0.2222222222222222,"Duffy, A.",outandin
341,409,1,0.004620534307683541,0.08109854021184071,0.0,8,0,0.2222222222222222,"Goodwin, S.",incoming
342,579,1,0.004620534307683541,0.08109854021184071,0.0,8,0,0.2222222222222222,"Jones, S.",incoming
343,586,1,0.004620534307683541,0.08109854021184071,0.0,8,0,0.2222222222222222,"Kachkaev, A.",incoming
215,476,2,0.0028795284063525195,0.0816762680138841,0.007808522181878886,10,0,0.2222222222222222,"Hauser, H.",outgoing
3,1072,1,0.0075001745897549975,0.09820390683039812,0.00801858575741135,14,0,0.2222222222222222,"Slingsby, A.",
2,299,1,0.007712133120297192,0.09841464482788824,0.010631164531252176,16,0,0.2222222222222222,"Dykes, J.",
4,1267,1,0.007914142428997234,0.09883884588318087,0.017509007693056772,18,0,0.2222222222222222,"Wood, J.",
437,52,2,1.477382086158093e-64,0.00816326530612245,0.0,4,1,1.0,"Bachynskyi, M.",outandin
