,community,h_degree
0,0,1
1,1,4
2,2,3
3,3,1
4,4,1
5,5,2
6,6,2
7,7,1
8,8,2
9,9,1
10,10,3
11,11,1
12,12,3
13,13,2
14,14,4
15,15,1
16,16,1
17,17,2
18,18,4
19,19,1
20,20,1
21,21,1
22,22,1
23,23,2
24,24,1
25,25,3
26,26,1
27,27,2
28,28,1
29,29,4
30,30,1
31,31,1
32,32,1
33,33,4
34,34,4
35,35,1
36,36,2
37,37,4
38,38,4
39,39,1
40,40,5
41,41,5
42,42,6
43,43,2
44,44,2
45,45,3
46,46,1
47,47,1
48,48,3
49,49,3
50,50,1
