,community,count
50,50,2
30,30,2
31,31,2
35,35,2
15,15,2
7,7,2
39,39,2
46,46,2
47,47,2
19,19,2
44,44,3
36,36,3
27,27,3
43,43,3
45,45,4
48,48,4
49,49,4
25,25,4
2,2,4
10,10,4
18,18,5
1,1,5
38,38,5
37,37,5
33,33,5
29,29,5
34,34,5
14,14,5
41,41,6
40,40,6
32,32,6
21,21,7
5,5,7
9,9,7
13,13,8
6,6,10
11,11,11
42,42,11
4,4,12
24,24,16
12,12,16
28,28,16
8,8,18
26,26,19
16,16,24
17,17,24
0,0,27
23,23,33
22,22,33
20,20,38
3,3,40
