,source,target,type
0,1085,1194,incoming
1,1085,146,outandin
2,1085,941,outandin
3,1085,1333,outandin
4,1085,1267,outandin
5,1194,146,outandin
6,299,1072,
7,299,1267,
8,299,726,outandin
9,299,54,outandin
10,299,544,outandin
11,299,123,outandin
12,299,545,outandin
13,299,267,outandin
14,299,285,outandin
15,299,294,outandin
16,299,409,incoming
17,299,579,incoming
18,299,586,incoming
19,299,476,outandin
20,299,1178,incoming
21,299,83,incoming
22,1072,1267,
23,1072,54,outandin
24,1072,544,outandin
25,1072,123,outandin
26,1072,545,outandin
27,1072,267,outandin
28,1072,285,outandin
29,1072,294,outandin
30,1072,409,incoming
31,1072,579,outandin
32,1072,586,outandin
33,1072,476,outandin
34,1072,1178,incoming
35,1267,54,outandin
36,1267,544,outandin
37,1267,123,outandin
38,1267,545,outandin
39,1267,267,outandin
40,1267,285,outandin
41,1267,294,outandin
42,1267,409,outandin
43,1267,579,outandin
44,1267,586,incoming
45,1267,476,outandin
46,1267,1178,incoming
47,1267,83,incoming
48,1267,941,outandin
49,1267,1333,outandin
50,816,786,outgoing
51,816,899,outgoing
52,816,250,outandin
53,816,1033,outandin
54,816,358,outandin
55,816,155,outandin
56,816,135,incoming
57,816,1170,
58,816,333,outandin
59,816,834,outandin
60,816,539,outandin
61,816,1108,outandin
62,786,899,outgoing
63,786,250,outandin
64,786,1033,outandin
65,786,13,outandin
66,786,768,outandin
67,786,774,outandin
68,899,250,outandin
69,899,113,incoming
70,899,374,outandin
71,899,895,outandin
72,899,794,outandin
73,899,783,outandin
74,899,991,outandin
75,899,325,outandin
76,899,421,outandin
77,899,590,outandin
78,899,697,incoming
79,899,875,outandin
80,899,1016,outandin
81,899,1110,outandin
82,899,1225,outandin
83,899,127,outandin
84,899,745,outandin
85,899,1039,outandin
86,899,1300,incoming
87,899,386,incoming
88,899,156,incoming
89,899,546,outandin
90,899,852,incoming
91,899,1126,outandin
92,899,1202,outandin
93,899,16,outandin
94,899,95,incoming
95,899,451,outandin
96,899,599,outandin
97,899,707,outandin
98,899,1112,incoming
99,899,1205,outandin
100,847,959,outandin
101,847,935,outandin
102,847,664,outandin
103,959,935,outandin
104,959,664,outandin
105,935,664,outandin
106,664,407,outandin
107,664,568,outandin
108,664,1326,outandin
109,664,443,outandin
110,664,416,incoming
111,664,1015,incoming
112,308,771,outgoing
113,308,560,outandin
114,308,9,outandin
115,308,742,outandin
116,308,554,outandin
117,308,301,outandin
118,771,560,outandin
119,265,80,outandin
120,265,149,outandin
121,265,1237,outandin
122,265,1190,outandin
123,80,149,outandin
124,80,1237,outandin
125,80,1190,outandin
126,149,1237,incoming
127,149,1190,outandin
128,149,642,outandin
129,149,485,outandin
130,149,506,outandin
131,149,823,incoming
132,1170,1106,outandin
133,1170,417,outandin
134,1170,1127,outgoing
135,1170,1175,outandin
136,1170,1033,outandin
137,1106,417,outandin
138,1127,1175,outandin
139,183,110,outandin
140,183,920,outandin
141,183,555,outandin
142,183,817,outandin
143,183,1160,outandin
144,183,1,outandin
145,183,797,outandin
146,183,419,outandin
147,183,949,outandin
148,183,344,outandin
149,183,748,outandin
150,183,963,outandin
151,183,1004,outandin
152,183,245,outandin
153,183,1003,outandin
154,110,920,outandin
155,110,555,outandin
156,110,817,outandin
157,110,1160,outandin
158,110,1,outandin
159,110,797,outandin
