,community,count
22,22,2
19,19,2
18,18,2
28,28,2
16,16,2
15,15,2
29,29,2
12,12,2
35,35,2
10,10,2
7,7,2
6,6,2
39,39,2
40,40,2
43,43,2
8,8,2
23,23,2
25,25,3
33,33,3
32,32,3
38,38,3
41,41,3
0,0,3
45,45,3
2,2,3
3,3,3
17,17,3
13,13,3
11,11,3
42,42,4
4,4,4
5,5,4
37,37,4
36,36,4
34,34,4
14,14,4
26,26,4
44,44,4
31,31,5
20,20,5
30,30,6
24,24,6
1,1,6
21,21,6
9,9,11
27,27,21
