,source,target,type
0,304,225,outgoing
1,304,201,outgoing
2,392,675,outgoing
3,392,1256,outgoing
4,392,230,outgoing
5,392,891,outgoing
6,392,984,outgoing
7,675,1256,outgoing
8,675,230,outgoing
9,675,891,outgoing
10,675,984,outgoing
11,1256,230,outgoing
12,1256,891,outgoing
13,1256,984,outgoing
14,230,891,outgoing
15,230,984,outgoing
16,891,984,outgoing
17,152,574,outgoing
18,152,1078,outgoing
19,574,1078,outgoing
20,793,248,outgoing
21,793,502,outgoing
22,248,502,outgoing
23,490,289,outgoing
24,490,1265,outgoing
25,490,79,outgoing
26,289,1265,outgoing
27,289,79,outgoing
28,1265,79,outgoing
29,41,242,outgoing
30,41,687,outgoing
31,41,894,outgoing
32,242,687,outgoing
33,242,894,outgoing
34,687,894,outgoing
35,603,169,outgoing
36,14,1259,outgoing
37,39,1083,outgoing
38,1159,231,outgoing
39,1159,1258,outgoing
40,1159,888,outgoing
41,1159,672,outgoing
42,1159,915,outgoing
43,1159,1029,outgoing
44,1159,495,outgoing
45,1159,1244,outgoing
46,1159,757,outgoing
47,1159,1263,
48,231,1258,outgoing
49,231,888,outgoing
50,231,672,outgoing
51,231,915,outgoing
52,231,1029,outgoing
53,1258,888,outgoing
54,1258,672,outgoing
55,1258,915,outgoing
56,1258,1029,outgoing
57,888,672,outgoing
58,888,915,outgoing
59,888,1029,outgoing
60,672,915,outgoing
61,672,1029,outgoing
62,915,1029,outgoing
63,1097,564,outgoing
64,201,978,outgoing
65,201,639,outgoing
66,201,764,outgoing
67,978,639,outgoing
68,978,764,outgoing
69,978,733,outgoing
70,978,1040,outgoing
71,978,406,outgoing
72,978,150,outgoing
73,978,1113,outgoing
74,978,296,outgoing
75,978,255,outgoing
76,978,610,outgoing
77,978,165,outgoing
78,978,424,outgoing
79,978,803,outgoing
80,978,469,outgoing
81,978,802,outgoing
82,639,764,outgoing
83,639,733,outgoing
84,639,1040,outgoing
85,639,406,outgoing
86,639,150,outgoing
87,639,1113,outgoing
88,639,296,outgoing
89,639,255,outgoing
90,734,311,outgoing
91,939,592,outgoing
92,939,405,outgoing
93,592,405,outgoing
94,1087,1181,outgoing
95,1087,247,outgoing
96,1087,1117,outgoing
97,1181,247,outgoing
98,1181,1117,outgoing
99,247,1117,outgoing
100,569,65,outgoing
101,987,536,outgoing
102,422,55,outgoing
103,422,446,outgoing
104,55,446,outgoing
105,816,508,outgoing
106,816,204,outgoing
107,816,330,outgoing
108,816,962,outgoing
109,816,438,outgoing
110,508,204,outgoing
111,508,330,outgoing
112,204,330,outgoing
113,26,1098,outgoing
114,167,356,outgoing
115,167,224,outgoing
116,356,224,outgoing
117,356,1106,outgoing
118,356,1261,outgoing
119,356,814,outgoing
120,604,961,outgoing
121,1320,323,outgoing
122,733,1040,outgoing
123,733,406,outgoing
124,733,150,outgoing
125,733,1113,outgoing
126,733,296,outgoing
127,733,498,outgoing
128,733,1032,outgoing
129,1040,406,outgoing
130,1040,150,outgoing
131,1040,1113,outgoing
132,1040,296,outgoing
133,406,150,outgoing
134,406,1113,outgoing
135,406,296,outgoing
136,150,1113,outgoing
137,150,296,outgoing
138,1113,296,outgoing
139,164,744,outgoing
140,164,189,outgoing
141,1056,1143,outgoing
142,1056,85,outgoing
143,1143,85,outgoing
144,173,139,outgoing
145,173,737,outgoing
146,173,222,outgoing
147,139,737,outgoing
148,139,222,outgoing
149,737,222,outgoing
150,255,469,outgoing
151,255,802,outgoing
152,934,1151,outgoing
153,1106,1261,outgoing
154,1106,814,outgoing
155,1261,814,outgoing
156,1153,758,outgoing
157,189,955,outgoing
158,189,71,outgoing
159,189,645,outgoing
160,955,71,outgoing
161,955,645,outgoing
162,71,645,outgoing
163,1090,431,outgoing
164,1090,335,outgoing
165,1090,99,outgoing
166,1090,1107,outgoing
167,431,335,outgoing
168,431,99,outgoing
169,431,1107,outgoing
170,495,1244,outgoing
171,495,757,outgoing
172,1244,757,outgoing
173,1244,1263,outgoing
174,969,301,outgoing
175,969,1059,outgoing
176,301,1059,outgoing
177,869,463,outgoing
178,869,777,outgoing
179,869,562,outgoing
180,463,777,outgoing
181,610,165,outgoing
182,610,424,outgoing
183,610,803,outgoing
184,165,424,outgoing
185,165,803,outgoing
186,424,803,outgoing
187,741,903,
188,741,118,outgoing
189,741,473,outgoing
190,903,118,outgoing
191,903,473,outgoing
192,118,473,outgoing
193,99,1107,outgoing
194,1134,808,outgoing
195,1134,912,outgoing
196,1134,1182,outgoing
197,808,912,outgoing
198,808,1182,outgoing
199,912,1182,outgoing
200,606,40,outgoing
201,606,87,outgoing
202,40,87,outgoing
203,647,42,outgoing
204,1074,360,outgoing
205,1336,1186,outgoing
206,1336,1337,
207,462,1104,
208,462,116,outgoing
209,462,975,outgoing
210,1104,116,outgoing
211,1104,975,outgoing
212,116,975,outgoing
213,82,109,outgoing
214,964,74,outgoing
215,964,1065,outgoing
216,964,1268,outgoing
217,74,1065,outgoing
218,74,1268,outgoing
219,1065,1268,outgoing
220,313,491,outgoing
221,313,384,outgoing
222,491,384,outgoing
223,512,103,outgoing
224,512,938,outgoing
225,103,938,
226,1223,985,
227,1223,368,outgoing
228,985,368,outgoing
229,90,1254,outgoing
230,1055,851,outgoing
231,1055,763,outgoing
232,851,763,outgoing
233,469,802,outgoing
234,498,1032,outgoing
235,540,50,outgoing
236,464,249,
237,464,522,
238,464,60,outgoing
239,464,238,outgoing
240,249,522,
241,249,60,outgoing
242,249,238,outgoing
243,522,60,outgoing
244,522,238,outgoing
245,60,238,outgoing
246,962,438,outgoing
