node,volatility,eign,closeness,betwness,centrality,community,density,name,type
1104,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,42,1.0,"Stolte, C.",
116,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,42,1.0,"Bosch, R.",outgoing
975,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,42,1.0,"Rosenblum, M.",outgoing
490,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,4,1.0,"Hendley, R.J.",outgoing
289,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,4,1.0,"Drew, N.S.",outgoing
1265,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,4,1.0,"Wood, A.M.",outgoing
79,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,4,1.0,"Beale, R.",outgoing
41,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,5,1.0,"Anupam, V.",outgoing
242,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,5,1.0,"Dar, S.",outgoing
687,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,5,1.0,"Leibfried, T.",outgoing
894,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,5,1.0,"Petajan, E.",outgoing
1134,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,37,1.0,"Tal, A.",
808,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,37,1.0,"Moses, Y.",outgoing
912,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,37,1.0,"Polunsky, Z.",outgoing
1182,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,37,1.0,"Ulitsky, L.",outgoing
741,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,36,1.0,"MacEachren, A.M.",
903,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,36,1.0,"Pickle, L.",
118,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,36,1.0,"Boscoe, F.P.",outgoing
473,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,36,1.0,"Haug, D.",outgoing
562,1,2.7075992499443588e-21,0.010526315789473684,0.0,1,34,0.6666666666666666,"Jeong, C.-S.",outgoing
463,1,5.021615590524251e-21,0.013157894736842105,0.0,2,34,0.6666666666666666,"Hansen, M.",outgoing
777,1,5.021615590524251e-21,0.013157894736842105,0.0,2,34,0.6666666666666666,"Meads, D.",outgoing
869,1,5.8757245435030365e-21,0.017543859649122806,0.00013759889920880633,3,34,0.6666666666666666,"Pang, A.",outgoing
1087,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,14,1.0,"Spence, B.",outgoing
1181,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,14,1.0,"Tweedie, L.",outgoing
247,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,14,1.0,"Dawkes, H.",outgoing
1117,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,14,1.0,"Su, H.",outgoing
173,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,26,1.0,"Chalmers, M.",
139,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,26,1.0,"Brodbeck, D.",
737,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,26,1.0,"Lunzer, A.",outgoing
222,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,26,1.0,"Cotture, P.",outgoing
964,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,44,1.0,"Rodden, K.",outgoing
74,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,44,1.0,"Basalaj, W.",outgoing
1065,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,44,1.0,"Sinclair, D.",outgoing
1268,1,2.1902992354879296e-16,0.017543859649122806,0.0,3,44,1.0,"Wood, K.",outgoing
335,1,5.299168228228462e-15,0.015594541910331383,0.0,2,31,0.8,"Finger, J.",outgoing
99,1,7.579945741969779e-15,0.01871345029239766,0.0,3,31,0.8,"Bielser, D.",outgoing
1107,1,7.579945741969779e-15,0.01871345029239766,0.0,3,31,0.8,"Strasser, T.",outgoing
1090,1,8.805639174698036e-15,0.023391812865497075,6.879944960440316e-05,4,31,0.8,"Sprenger, T.C.",outgoing
431,2,8.805639174698036e-15,0.023391812865497075,6.879944960440316e-05,4,31,0.8,"Gross, M.H.",outgoing
464,1,6.285850532046964e-12,0.023391812865497075,0.0,4,20,1.0,"Hao, M.C.",
249,1,6.285850532046964e-12,0.023391812865497075,0.0,4,20,1.0,"Dayal, U.",
522,1,6.285850532046964e-12,0.023391812865497075,0.0,4,20,1.0,"Hsu, M.",
60,1,6.285850532046964e-12,0.023391812865497075,0.0,4,20,1.0,"Baker, J.",outgoing
238,1,6.285850532046964e-12,0.023391812865497075,0.0,4,20,1.0,"D'Eletto, R.",outgoing
744,2,8.841036630512307e-17,0.012183235867446393,0.0,1,30,0.5333333333333333,"Mackinlay, J.D.",
164,1,2.737633370931262e-16,0.01827485380116959,0.00027519779841761265,2,30,0.5333333333333333,"Card, S.K.",outgoing
955,1,6.924713053071151e-16,0.01827485380116959,0.0,3,30,0.5333333333333333,"Riedl, J.",outgoing
71,1,6.924713053071151e-16,0.01827485380116959,0.0,3,30,0.5333333333333333,"Barry, P.",outgoing
645,1,6.924713053071151e-16,0.01827485380116959,0.0,3,30,0.5333333333333333,"Konstan, J.",outgoing
189,1,7.592997820469097e-16,0.024366471734892786,0.000412796697626419,4,30,0.5333333333333333,"Chi, E.H.",outgoing
962,3,2.327749185134053e-15,0.01827485380116959,0.0,2,24,0.6,"Robertson, G.",outgoing
438,1,2.327749185134053e-15,0.01827485380116959,0.0,2,24,0.6,"Guimbretiere, F.",outgoing
508,3,4.172530484164853e-15,0.020885547201336674,0.0,3,24,0.6,"Hoffman, E.",outgoing
204,1,4.172530484164853e-15,0.020885547201336674,0.0,3,24,0.6,"Claffy, K.",outgoing
330,1,4.172530484164853e-15,0.020885547201336674,0.0,3,24,0.6,"Fenner, B.",outgoing
816,0,5.2649083333360384e-15,0.029239766081871343,0.000412796697626419,5,24,0.6,"Munzner, T.",
392,1,2.7586802655792605e-08,0.029239766081871343,0.0,5,1,1.0,"Gershon, N.",outgoing
675,1,2.7586802655792605e-08,0.029239766081871343,0.0,5,1,1.0,"LeVasseur, J.",outgoing
1256,1,2.7586802655792605e-08,0.029239766081871343,0.0,5,1,1.0,"Winstead, J.",outgoing
230,1,2.7586802655792605e-08,0.029239766081871343,0.0,5,1,1.0,"Croall, J.",outgoing
891,1,2.7586802655792605e-08,0.029239766081871343,0.0,5,1,1.0,"Pernicks, A.",outgoing
984,1,2.7586802655792605e-08,0.029239766081871343,0.0,5,1,1.0,"Ruh, W.",outgoing
