,source,target,type
0,32,482,incoming
1,32,520,incoming
2,32,744,incoming
3,32,804,incoming
4,32,1264,incoming
5,32,1135,
6,482,520,incoming
7,482,744,incoming
8,482,804,incoming
9,482,1264,incoming
10,482,509,incoming
11,482,988,incoming
12,482,1009,incoming
13,482,601,incoming
14,482,220,incoming
15,482,767,incoming
16,482,910,incoming
17,482,709,incoming
18,482,821,incoming
19,482,1073,incoming
20,482,1216,incoming
21,520,744,incoming
22,520,804,incoming
23,520,1264,incoming
24,520,709,incoming
25,520,821,incoming
26,520,1073,incoming
27,520,1216,incoming
28,744,804,incoming
29,744,1264,incoming
30,804,1264,incoming
31,804,1009,incoming
32,804,709,incoming
33,804,821,incoming
34,804,1073,incoming
35,804,1216,incoming
36,1264,523,incoming
37,1264,1097,incoming
38,1264,1009,incoming
39,786,928,incoming
40,786,211,incoming
41,786,688,incoming
42,786,770,incoming
43,786,100,incoming
44,786,291,incoming
45,786,340,incoming
46,786,228,incoming
47,786,861,incoming
48,786,390,incoming
49,786,776,incoming
50,786,299,incoming
51,786,409,incoming
52,786,579,incoming
53,786,612,incoming
54,928,228,incoming
55,928,861,incoming
56,299,409,
57,299,1072,
58,299,1178,
59,299,785,incoming
60,299,1267,
61,299,738,incoming
62,299,1085,incoming
63,299,1094,incoming
64,299,1187,incoming
65,299,83,
66,299,586,
67,299,579,
68,299,612,incoming
69,409,1072,
70,409,1178,incoming
71,409,298,incoming
72,409,755,incoming
73,409,1296,incoming
74,409,579,
75,409,612,incoming
76,1072,1178,
77,1072,785,incoming
78,1072,1267,
79,1072,83,incoming
80,1178,785,incoming
81,1178,1267,
82,1178,83,incoming
83,533,1012,incoming
84,533,1337,incoming
85,533,1336,incoming
86,533,51,incoming
87,533,298,incoming
88,533,755,incoming
89,533,492,incoming
90,533,831,incoming
91,533,922,incoming
92,533,1149,
93,533,24,incoming
94,533,218,incoming
95,533,291,incoming
96,533,1205,incoming
97,1012,1337,
98,1012,1336,
99,1337,1336,
100,1336,163,incoming
101,78,167,incoming
102,78,532,incoming
103,78,1161,incoming
104,167,532,
105,167,1161,incoming
106,167,500,incoming
107,167,591,incoming
108,167,729,incoming
109,167,890,incoming
110,167,212,incoming
111,167,37,incoming
112,167,649,incoming
113,167,1195,incoming
