,node,x_pos,y_pos
0,0,-0.9703585687066739,0.1739130180153532
1,1,0.38855414409572103,0.8092110375352833
2,2,-0.10107318236179674,-0.8627931433121687
3,3,0.8715835051463602,-0.4147687102478743
4,4,0.03528535492928331,-1.0
5,5,0.491930941329834,-0.8473958423788728
6,6,0.5777730957340076,0.8036846006912713
7,7,-0.5976328517807209,0.7513228771872915
8,8,0.16008869026871114,-0.8932955931888545
9,9,0.7321367656380786,0.4450409007801615
10,10,-0.8976600447555388,0.37463208910172296
11,11,-0.7457913778059602,-0.5628668271416262
12,12,-0.9114840156150219,-0.15683186374757183
13,13,0.10655645117645776,0.9499151038514303
14,14,-0.6511757129080441,-0.706951841709756
15,15,0.8518645270309163,-0.2555103852883363
16,16,0.9632685612875369,-0.161560516468946
17,17,-0.011804636008925604,0.8830598971453568
18,18,-0.7324030958921572,0.728299326448855
19,19,0.8507244739698602,0.14895010651960638
20,20,-0.4955902998992211,-0.7161725828219581
21,21,-0.45632743058187386,0.8206883598309297
22,22,0.3087965097663178,0.9286906808817493
23,23,0.5517964295258369,-0.6641686217684099
24,24,0.8128339181756536,0.5757764357233722
25,25,0.9396793426960987,0.027951306694318043
26,26,0.862810733386296,0.31403883749761297
27,27,0.7925376645239133,-0.5675681437349804
28,28,-0.8229766047883654,0.552954413939433
29,29,0.6188556031436555,0.6547858547320216
30,30,-0.769686826944938,-0.40879153195136436
31,31,-0.9615493005640744,-0.0027912360763907153
32,32,0.6993491220069941,-0.7385162619434237
33,33,-0.24637113552551987,-0.9323782140079439
34,34,-0.30899095049040326,0.8469556580176366
35,35,-0.1673379835229421,0.9086252329497302
36,36,0.32391093886583755,-0.9110093303238033
37,37,-0.4086109464346067,-0.8509557558539346
38,38,-0.7933702299126398,0.2826554134142556
39,39,-0.8901415781979468,-0.3268247489911767
