node,volatility,eign,closeness,betwness,centrality,community,density,name,type
354,1,5.419852344857953e-75,0.002336448598130841,0.0,1,19,1.0,"Forsell, C.",
571,1,5.419852344857953e-75,0.002336448598130841,0.0,1,19,1.0,"Johansson, J.",
1043,1,5.419852344857953e-75,0.002336448598130841,0.0,1,26,1.0,"Setlur, V.",
1105,1,5.419852344857953e-75,0.002336448598130841,0.0,1,26,1.0,"Stone, M.C.",incoming
685,1,5.419852344857953e-75,0.002336448598130841,0.0,1,14,1.0,"Lehmann, D.J.",
1154,1,5.419852344857953e-75,0.002336448598130841,0.0,1,14,1.0,"Theisel, H.",
510,1,5.419852344857953e-75,0.002336448598130841,0.0,1,9,1.0,"Hofmann, H.",
1189,1,5.419852344857953e-75,0.002336448598130841,0.0,1,9,1.0,"VanderPlas, S.",incoming
75,1,5.419852344857953e-75,0.002336448598130841,0.0,1,5,1.0,"Basole, R.C.",
749,1,5.419852344857953e-75,0.002336448598130841,0.0,1,5,1.0,"Major, T.",
1079,1,5.419852344857953e-75,0.002336448598130841,0.0,1,39,1.0,"Song, H.",incoming
17,1,5.419852344857953e-75,0.002336448598130841,0.0,1,39,1.0,"Albers Szafir, D.",
660,1,5.419852344857953e-75,0.002336448598130841,0.0,1,2,1.0,"KÃ¶pp, W.",incoming
1236,1,5.419852344857953e-75,0.002336448598130841,0.0,1,2,1.0,"Weinkauf, T.",
110,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,6,1.0,"Borgo, R.",
578,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,6,1.0,"Jones, M.W.",
1209,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,6,1.0,"Walker, J.",incoming
151,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,37,1.0,"Burlinson, D.",incoming
410,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,37,1.0,"Goolkasian, P.",incoming
1118,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,37,1.0,"Subramanian, K.",incoming
353,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,8,1.0,"Forlini, S.",incoming
501,3,1.2896579724656296e-58,0.004672897196261682,0.0,2,8,1.0,"Hinrichs, U.",incoming
809,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,8,1.0,"Moynihan, B.",incoming
478,1,1.8516857592643557e-67,0.0031152647975077876,0.0,1,30,0.6666666666666666,"He, S.",incoming
1119,1,1.8516857592643557e-67,0.0031152647975077876,0.0,1,30,0.6666666666666666,"Subramonyam, H.",incoming
7,1,2.6186791140047736e-67,0.004672897196261682,1.0943553152837664e-05,2,30,0.6666666666666666,"Adar, E.",
38,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,23,1.0,"Angus, D.",incoming
157,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,23,1.0,"Byrne, L.",incoming
1246,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,23,1.0,"Wiles, J.",incoming
88,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,35,1.0,"Berger, M.",incoming
772,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,35,1.0,"McDonough, K.",incoming
1044,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,35,1.0,"Seversky, L.M.",incoming
108,1,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Bogl, M.",incoming
321,1,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Federico, P.",incoming
436,1,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Gschwandtner, T.",incoming
789,3,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Miksch, S.",
68,1,5.367561779771532e-47,0.007009345794392523,0.0,3,38,1.0,"Barbosa, S.D.",incoming
172,1,5.367561779771532e-47,0.007009345794392523,0.0,3,38,1.0,"Celes, W.",incoming
548,1,5.367561779771532e-47,0.007009345794392523,0.0,3,38,1.0,"Ivson, P.",incoming
820,1,5.367561779771532e-47,0.007009345794392523,0.0,3,38,1.0,"Nascimento, D.",incoming
264,1,5.367561779771532e-47,0.007009345794392523,0.0,3,27,1.0,"Diaz, F.",incoming
936,1,5.367561779771532e-47,0.007009345794392523,0.0,3,27,1.0,"Raya, L.",incoming
980,1,5.367561779771532e-47,0.007009345794392523,0.0,3,27,1.0,"Rubio-Sanchez, M.",
1002,1,5.367561779771532e-47,0.007009345794392523,0.0,3,27,1.0,"Sanchez, A.",
742,1,1.1895442517824709e-56,0.004205607476635514,0.0,1,32,0.6666666666666666,"Maciejewski, R.",
175,1,2.2061735910482753e-56,0.005257009345794392,0.0,2,32,0.6666666666666666,"Chanana, K.",incoming
297,1,2.2061735910482753e-56,0.005257009345794392,0.0,2,32,0.6666666666666666,"Dunne, C.",incoming
1314,1,2.5814139060368163e-56,0.007009345794392523,2.1887106305675328e-05,3,32,0.6666666666666666,"Zhang, Y.",incoming
18,1,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Albo, Y.",incoming
59,3,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Bak, P.",incoming
671,1,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Lanir, J.",incoming
930,1,5.367561779771532e-47,0.007009345794392523,0.0,3,15,1.0,"Rafaeli, S.",incoming
280,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Dork, M.",
813,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Muller, B.",incoming
1096,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Stahnke, J.",incoming
1157,1,5.367561779771532e-47,0.007009345794392523,0.0,3,12,1.0,"Thom, A.",incoming
479,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Headleand, C.",incoming
958,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Ritsos, P.D.",incoming
960,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Roberts, J.C.",
551,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Jackson, J.R.",incoming
514,1,9.485843073268153e-52,0.005257009345794392,0.0,2,36,0.8333333333333334,"Horak, T.",incoming
626,1,9.485843073268153e-52,0.005257009345794392,0.0,2,36,0.8333333333333334,"Kister, U.",incoming
239,3,1.2149244003096597e-51,0.007009345794392523,5.471776576418832e-06,3,36,0.8333333333333334,"Dachselt, R.",incoming
670,1,1.2149244003096597e-51,0.007009345794392523,5.471776576418832e-06,3,36,0.8333333333333334,"Langner, R.",incoming
145,1,9.485843073268147e-52,0.006230529595015575,0.0,2,31,0.6,"Bryan, C.",incoming
1269,1,9.485843073268148e-52,0.006230529595015575,0.0,2,31,0.6,"Woodring, J.",incoming
229,1,9.485843073268148e-52,0.006230529595015575,0.0,2,31,0.6,"Crnovrsanin, T.",incoming
659,1,9.485843073268148e-52,0.006230529595015575,0.0,2,31,0.6,"Kwon, O.",incoming
740,1,1.4812644932925034e-51,0.009345794392523364,4.3774212611350656e-05,4,31,0.6,"Ma, K.-L.",
664,1,1.1464571581958002e-36,0.0073014018691588784,0.0,2,34,0.8,"Laidlaw, D.H.",
874,1,2.1879938954896818e-36,0.009735202492211837,0.0,4,34,0.8,"Parker, M.L.",incoming
1063,1,2.1879938954896818e-36,0.009735202492211837,0.0,4,34,0.8,"Silverman, A.T.",incoming
1214,1,2.1879938954896818e-36,0.009735202492211837,0.0,4,34,0.8,"Wang, A.S.",incoming
416,1,2.4084040185565477e-36,0.011682242990654205,1.6415329729256497e-05,5,34,0.8,"Gramazio, C.C.",
1015,1,2.4084040185565477e-36,0.011682242990654205,1.6415329729256497e-05,5,34,0.8,"Schloss, K.B.",
185,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Chen, W.",
442,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Guo, F.",incoming
458,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Han, D.",incoming
832,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Nie, X.",incoming
867,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Pan, J.",incoming
1284,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Xia, J.",incoming
1313,1,2.1493917600379322e-24,0.014018691588785047,0.0,6,20,1.0,"Zhang, X.",
1249,1,0.0028313569561621045,0.13073898166590062,0.0,2,25,0.7619047619047619,"Willett, W.",
516,1,0.0004098018757294896,0.11180015721897107,0.0,5,25,0.7619047619047619,"HornbÃ¦k, K.",
21,1,0.0004098018757294896,0.11180015721897107,0.0,5,25,0.7619047619047619,"Alexander, J.",incoming
466,1,0.0004098018757294896,0.11180015721897107,0.0,5,25,0.7619047619047619,"Hardy, J.",incoming
1131,1,0.0004098018757294896,0.11180015721897107,0.0,5,25,0.7619047619047619,"Taher, F.",incoming
1271,1,0.0004098018757294896,0.11180015721897107,0.0,5,25,0.7619047619047619,"Woodruff, J.",incoming
558,1,0.002997738919987381,0.1310971706567661,0.01723609621571932,7,25,0.7619047619047619,"Jansen, Y.",
621,1,8.239241034788331e-07,0.10290423073057983,0.0,2,18,0.6428571428571429,"Kim, S.-H.",
658,1,8.239241034788331e-07,0.10290423073057983,0.0,2,18,0.6428571428571429,"Kwon, B.C.",incoming
531,1,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Hung, Y.",incoming
593,3,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Kang, Y.",incoming
620,3,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Kim, S.",incoming
1302,1,8.36396964576525e-06,0.11909026204509612,0.0,5,18,0.6428571428571429,"Yi, J.S.",
666,3,6.103954190622006e-05,0.14106859460412627,0.02397732495786732,7,18,0.6428571428571429,"Lam, H.",incoming
682,1,8.497791910846907e-06,0.11920893694499159,0.006960099805204754,7,18,0.6428571428571429,"Lee, S.",incoming
134,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Breeuwer, M.",incoming
305,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Eisemann, E.",incoming
306,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Eisemann, M.",incoming
931,1,1.8277680815363047e-28,0.013518024032042724,0.0,4,13,0.5555555555555556,"Raidou, R.G.",incoming
534,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"HÃ¶llt, T.",incoming
644,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"Koning, F.",incoming
690,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"Lelieveldt, B.P.F.",incoming
898,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"Pezzotti, N.",incoming
1335,1,3.169171893095541e-28,0.014557872034507547,0.0,5,13,0.5555555555555556,"van Unen, V.",incoming
1198,1,4.318245692450245e-28,0.02102803738317757,0.00021887106305675327,9,13,0.5555555555555556,"Vilanova, A.",incoming
835,1,0.010909196605608887,0.12300891334118154,0.0,2,28,0.3956043956043956,"Nobre, C.",incoming
43,1,0.00033931438828944043,0.09342145117087002,0.0,3,28,0.3956043956043956,"Arbesser, C.",incoming
819,1,0.00033931438828944043,0.09342145117087002,0.0,3,28,0.3956043956043956,"MÃ¼hlbacher, T.",incoming
818,3,0.00169492485786331,0.10652374730569818,0.0,5,28,0.3956043956043956,"MÃ¶ller, T.",
864,1,0.00169492485786331,0.10652374730569818,0.0,5,28,0.3956043956043956,"Pajer, S.",incoming
1169,1,0.00169492485786331,0.10652374730569818,0.0,5,28,0.3956043956043956,"Torsney-Weir, T.",incoming
15,1,0.0016798586353570053,0.10642897528852231,0.0,5,28,0.3956043956043956,"Aigner, W.",
420,1,0.0016798586353570053,0.10642897528852231,0.0,5,28,0.3956043956043956,"Grassinger, F.",incoming
518,1,0.0016798586353570053,0.10642897528852231,0.0,5,28,0.3956043956043956,"Hourieh, R.",incoming
833,1,0.0016798586353570053,0.10642897528852231,0.0,5,28,0.3956043956043956,"Niederer, C.",incoming
1101,1,0.0016798586353570053,0.10642897528852231,0.0,5,28,0.3956043956043956,"Stitz, H.",incoming
