,community,h_degree
0,0,1
1,1,2
2,2,1
3,3,1
4,4,3
5,5,1
6,6,2
7,7,1
8,8,2
9,9,1
10,10,3
11,11,2
12,12,3
13,13,4
14,14,1
15,15,3
16,16,2
17,17,3
18,18,2
19,19,1
20,20,6
21,21,4
22,22,1
23,23,2
24,24,1
25,25,2
26,26,1
27,27,3
28,28,2
29,29,2
30,30,1
31,31,2
32,32,1
33,33,1
34,34,2
35,35,2
36,36,2
37,37,2
38,38,3
39,39,1
