,community,count
19,19,2
26,26,2
14,14,2
9,9,2
5,5,2
39,39,2
2,2,2
6,6,3
37,37,3
8,8,3
30,30,3
23,23,3
35,35,3
4,4,4
38,38,4
27,27,4
32,32,4
15,15,4
12,12,4
10,10,4
36,36,4
31,31,5
34,34,6
20,20,7
25,25,7
18,18,8
13,13,10
28,28,14
24,24,15
0,0,16
17,17,16
16,16,18
11,11,20
22,22,26
1,1,28
3,3,29
29,29,29
21,21,35
7,7,35
33,33,41
