,source,target,weight
0,0,24,2
1,0,29,2
2,1,29,2
3,1,24,2
4,1,7,3
5,7,16,7
6,7,29,4
7,7,33,14
8,7,3,6
9,3,16,1
10,3,11,1
11,3,25,2
12,33,28,2
13,33,11,2
14,11,16,3
15,16,18,1
16,16,24,1
17,16,29,1
18,18,24,1
19,24,29,4
20,21,22,12
21,21,29,2
22,22,29,5
