Dork, M.: 280
Dorling, D.: 281
Dou, W.: 282
Douma, M.: 283
Dove, A.: 284
Dove, G.: 285
Dragicevic, P.: 286
Draper, G.: 287
Dreezer, R.: 288
Drew, N.S.: 289
Drews, F.: 290
Drucker, S.M.: 291
Duarte, F.S.L.G.: 292
Duca, K.: 293
Duffy, A.: 294
Dumais, S.: 295
Dunmire, C.: 296
Dunne, C.: 297
Dwyer, T.: 298
Dykes, J.: 299
Eagan, J.: 300
Ebert, D.S.: 301
Ebert, J.: 302
Edsall, R.M.: 303
Eick, S.G.: 304
Eisemann, E.: 305
Eisemann, M.: 306
Ellis, G.: 307
Elmqvist, N.: 308
Endert, A.: 309
Eppler, M.J.: 310
Ernst, R.: 311
Ersoy, O.: 312
Espinosa, O.J.: 313
Evans, E.M.: 314
Eveillard, L.: 315
Fadel, S.G.: 316
Fanea, E.: 317
Fatore, F.M.: 318
Faust, R.: 319
Fawcett, P.: 320
Federico, P.: 321
Feinberg, J.: 322
Feiner, S.K.: 323
Fekete, J.-D.: 324
Feldman, C.: 325
Felix, C.: 326
Feng, D.: 327
Feng, F.: 328
Feng, M.: 329
Fenner, B.: 330
Fernandez, R.: 331
Ferreira, N.: 332
Ferstay, J.A.: 333
Filzmoser, P.: 334
Finger, J.: 335
Fink, D.: 336
Fink, M.: 337
Finocchi, I.: 338
Fischer, F.: 339
Fisher, D.: 340
Flamm, C.: 341
Fleischer, D.: 342
Florian, L.: 343
Floridi, L.: 344
Flowers, W.C.: 345
Foerster, F.: 346
Foley, J.: 347
Follett, L.: 348
Follmer, S.: 349
Foote, H.: 350
Forbes, A.G.: 351
Foresti, S.: 352
Forlini, S.: 353
Forsell, C.: 354
Forser, C.: 355
Fracchia, F.D.: 356
Franconeri, S.: 357
Frank, A.: 358
Frazier, J.: 359
Frecon, E.: 360
Fredericks, C.: 361
Freiler, W.: 362
Freire, J.: 363
Frishman, Y.: 364
Froehlich, B.: 365
Fu, C.: 366
Fu, S.: 367
Fua, Y.-H.: 368
Fuchs, J.: 369
Fujishiro, I.: 370
Fuqu Wu: 371
Furuhata, R.: 372
Gahegan, M.: 373
Gajos, K.: 374
Gali, G.: 375
Gamblin, T.: 376
Gange, G.: 377
Ganger, G.R.: 378
Gansner, E.: 379
Gao, G.R.: 380
Gao, Z.: 381
Gardy, J.: 382
Garland, M.: 383
Garrett, J.H., Jr.: 384
Ge, T.: 385
Gehlenborg, N.: 386
Gehrmann, S.: 387
Genest, B.: 388
Geng, Z.: 389
Gerdes, J.: 390
Gerken, J.: 391
Gershon, N.: 392
Gerth, J.: 393
Ghoniem, M.: 394
Girardin, L.: 395
Glaser, D.C.: 396
Gleicher, M.: 397
Glickenstein, D.: 398
Goc, M.L.: 399
Goel, A.: 400
Goertler, J.: 401
Goffin, P.: 402
Gogolou, A.: 403
Goldsmith, T.E.: 404
Golovchinsky, G.: 405
Gomberg, C.C.: 406
Gomez, S.R.: 407
Goncu, C.: 408
Goodwin, S.: 409
Goolkasian, P.: 410
Gossett, N.: 411
Gotz, D.: 412
Gou, L.: 413
Grabowski, T.: 414
Graham, M.: 415
Gramazio, C.C.: 416
Grammel, L.: 417
Granitzer, M.: 418
Grant, P.W.: 419
Grassinger, F.: 420
Gratzl, S.: 421
Gray, M.: 422
Grechenig, T.: 423
Green, N.: 424
Greenberg, S.: 425
Gribov, A.: 426
Grinstein, G.: 427
Gritsai, P.: 428
Gros, P.: 429
Grosjean, J.: 430
Gross, M.H.: 431
Grossman, R.: 432
Gruen, D.: 433
Grundy, E.: 434
Gröller, M.E.: 435
Gschwandtner, T.: 436
Guerra-Gomez, J.: 437
Guimbretiere, F.: 438
Gundrum, J.: 439
Guo, C.: 440
Guo, D.: 441
Guo, F.: 442
Guo, H.: 443
Guo, P.: 444
Gutheil, C.: 445
Guzdial, M.: 446
Gygi, F.: 447
Görtler, J.: 448
Haass, M.: 449
Hadlak, S.: 450
Hadwiger, M.: 451
Haehn, D.: 452
Hagh-Shenas, H.: 453
Hakone, A.: 454
Halevy, A.: 455
Ham, D.: 456
Hamann, B.: 457
Han, D.: 458
Han, P.K.J.: 459
Handte, M.: 460
Hanfler, M.: 461
Hanrahan, P.: 462
Hansen, M.: 463
Hao, M.C.: 464
Hardisty, F.: 465
Hardy, J.: 466
Harel, D.: 467
Haroz, S.: 468
Harrison, J.: 469
Harrison, L.: 470
Harrold, M.J.: 471
Hart, J.: 472
Haug, D.: 473
Haunert, J.: 474
Hauptmann, A.G.: 475
Hauser, H.: 476
Havre, S.: 477
He, S.: 478
Headleand, C.: 479
Healey, C.: 480
Hearst, M.: 481
Heer, J.: 482
Heilmann, R.: 483
Heine, C.: 484
Heinrich, J.: 485
Heinzl, C.: 486
Heitzler, M.: 487
Heller, B.: 488
Hellmuth, M.: 489
Hendley, R.J.: 490
Hendrickson, C.: 491
Henry Riche, N.: 492
Herman, I.: 493
Hess, R.: 494
Hetzler, E.: 495
Heulot, N.: 496
Higgins, D.: 497
Higgins, M.: 498
Hildebrand, K.: 499
Hill, M.: 500
Hinrichs, U.: 501
Hirschman, L.: 502
Hix, D.: 503
Hlawatsch, M.: 504
Hoberock, J.: 505
Hoeferlin, M.: 506
Hofacker, I.L.: 507
Hoffman, E.: 508
Hoffswell, J.: 509
Hofmann, H.: 510
Hollerer, T.: 511
Holmquist, L.E.: 512
Holten, D.: 513
Horak, T.: 514
Horn, M.S.: 515
Hornbæk, K.: 516
Hoshiya, Y.: 517
Hourieh, R.: 518
House, D.H.: 519
Howe, B.: 520
Howe, E.: 521
Hsu, M.: 522
Hu, M.: 523
Hu, Y.: 524
Hua, J.: 525
Huang, M.L.: 526
Huang, S.: 527
Huff, C.: 528
Huh, J.: 529
Hullman, J.: 530
Hung, Y.: 531
Huron, S.: 532
Hurter, C.: 533
Höllt, T.: 534
Ichikawa, Y.: 535
Ilgen, M.R.: 536
Im, H.: 537
Im, J.: 538
Ingram, S.: 539
Inselberg, A.: 540
Interrante, V.: 541
Irani, P.P.: 542
Isaacs, K.E.: 543
Isenberg, P.: 544
Isenberg, T.: 545
Isola, P.: 546
Ivanov, Y.A.: 547
Ivson, P.: 548
Jackman, S.D.: 549
Jacko, J.A.: 550
Jackson, J.R.: 551
Jakobsen, M.R.: 552
Janetzko, H.: 553
Jang, Y.: 554
Janicke, H.: 555
Janicke, S.: 556
Jankun-Kelly, T.J.: 557
Jansen, Y.: 558
Jardine, N.: 559
Javed, W.: 560
Jenny, B.: 561
Jeong, C.-S.: 562
Jeong, W.: 563
Jerding, D.F.: 564
Jern, M.: 565
Ji, C.: 566
Jia, Y.: 567
Jianu, R.: 568
Jin, L.: 569
Jo, J.: 570
Johansson, J.: 571
Johansson, S.: 572
Johns, P.: 573
Johnston, L.J.: 574
Joia, P.: 575
Jones, J.A.: 576
Jones, M.: 577
Jones, M.W.: 578
Jones, S.: 579
Jones, S.J.M.: 580
Jourdan, F.: 581
Ju, C.: 582
Jurisica, I.: 583
Jurrus, E.: 584
Jusufi, I.: 585
Kachkaev, A.: 586
Kadaba, N.R.: 587
Kahng, M.: 588
Kale, A.: 589
Kalkofen, D.: 590
Kamal, N.: 591
Kamps, T.: 592
Kang, Y.: 593
Kapler, T.: 594
Karger, D.R.: 595
Karlson, A.K.: 596
Kaseda, T.: 597
Kashofer, K.: 598
Kasthuri, N.: 599
Kaur, I.: 600
Kay, M.: 601
Kazi, R.H.: 602
Kazman, R.: 603
Keahey, T.A.: 604
Kehrer, J.: 605
Keim, D.A.: 606
Kelling, S.: 607
Kennedy, J.: 608
Kerpedjiev, P.: 609
Kerpedjiev, S.: 610
Kerr, B.: 611
Kerzner, E.: 612
Khot, R.A.: 613
Kidwell, P.: 614
Kieffer, S.: 615
Kienreich, W.: 616
Kim, B.: 617
Kim, H.: 618
Kim, N.W.: 619
Kim, S.: 620
Kim, S.-H.: 621
Kim, Y.: 622
Kincaid, R.: 623
Kindlmann, G.: 624
King, G.: 625
Kister, U.: 626
