node,volatility,eign,closeness,betwness,centrality,community,density,name,type
435,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,0,1.0,"Gr̦ller, M.E.",
1328,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,0,1.0,"Zotti, G.",outandin
307,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,28,1.0,"Ellis, G.",outandin
272,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,28,1.0,"Dix, A.",outandin
105,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,38,1.0,"Blanch, R.",outandin
678,3,1.0119545555241064e-69,0.0030581039755351682,0.0,1,38,1.0,"Lecolinet, E.",outandin
608,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,41,1.0,"Kennedy, J.",outgoing
415,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,41,1.0,"Graham, M.",outandin
1134,1,1.0119545555241064e-69,0.0030581039755351682,0.0,1,42,1.0,"Tal, A.",outgoing
364,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,42,1.0,"Frishman, Y.",outgoing
1051,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,40,1.0,"Shen, H.-W.",outandin
1177,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,40,1.0,"Tu, Y.",outandin
881,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,44,1.0,"Paulovich, F.V.",incoming
792,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,44,1.0,"Minghim, R.",incoming
137,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,49,1.0,"Bresciani, S.",outandin
310,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,49,1.0,"Eppler, M.J.",outandin
287,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,43,1.0,"Draper, G.",outandin
957,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,43,1.0,"Riesenfeld, R.",outandin
1320,1,1.5816422107424463e-50,0.0061162079510703364,0.0,2,20,1.0,"Zhou, M.X.",outgoing
10,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,20,1.0,"Aggarwal, V.",outandin
1238,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,20,1.0,"Wen, Z.",outandin
206,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,50,1.0,"Clarkson, E.",outandin
256,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,50,1.0,"Desai, K.",outandin
347,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,50,1.0,"Foley, J.",outandin
147,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,34,1.0,"Buering, T.",outandin
391,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,34,1.0,"Gerken, J.",outandin
945,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,34,1.0,"Reiterer, H.",outandin
84,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,31,1.0,"Been, K.",outandin
240,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,31,1.0,"Daiches, E.",outandin
1298,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,31,1.0,"Yap, C.",outandin
281,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,30,1.0,"Dorling, D.",outandin
69,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,30,1.0,"Barford, A.",outandin
825,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,30,1.0,"Newman, M.",outandin
533,1,1.5816422107424463e-50,0.0061162079510703364,0.0,2,51,1.0,"Hurter, C.",incoming
1162,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,51,1.0,"Tissoires, B.",outandin
215,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,51,1.0,"Conversy, S.",outandin
956,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,22,1.0,"Riehmann, P.",outandin
461,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,22,1.0,"Hanfler, M.",outandin
365,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,22,1.0,"Froehlich, B.",outandin
1247,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,18,1.0,"Wilkinson, L.",incoming
32,1,1.5816422107424463e-50,0.0061162079510703364,0.0,2,18,1.0,"Anand, A.",incoming
432,2,1.5816422107424463e-50,0.0061162079510703364,0.0,2,18,1.0,"Grossman, R.",outandin
741,1,1.5816422107424463e-50,0.0061162079510703364,0.0,2,54,1.0,"MacEachren, A.M.",
