,source,target,type
301,704,234,outandin
302,779,67,outandin
303,779,1221,outandin
304,779,1068,outandin
305,67,1221,outandin
306,67,1068,outandin
307,1221,1068,outandin
308,84,240,outandin
309,84,1298,outandin
310,240,1298,outandin
311,1014,484,incoming
312,1014,1095,incoming
313,1014,341,outandin
314,1014,507,outandin
315,484,1095,incoming
316,484,341,outandin
317,484,507,outandin
318,1095,341,outandin
319,1095,507,outandin
320,341,507,outandin
321,1201,1340,outandin
322,237,962,outandin
323,237,1074,outandin
324,237,1136,outandin
325,237,787,outandin
326,962,1074,outandin
327,962,1136,outandin
328,962,787,outandin
329,962,680,outandin
330,962,340,outandin
331,962,331,outandin
332,962,544,outandin
333,962,929,outandin
334,1074,1136,outandin
335,1074,787,outandin
336,1074,680,incoming
337,1136,787,outandin
338,1136,680,outandin
339,383,656,outandin
340,383,567,outandin
341,383,505,outandin
342,383,472,outandin
343,44,49,outandin
344,755,1021,outandin
345,755,1114,outandin
346,755,1272,outandin
347,755,1282,incoming
348,147,391,outandin
349,147,945,outandin
350,391,945,outandin
351,752,950,outandin
352,752,1049,outandin
353,752,553,outandin
354,752,59,outandin
355,950,1049,outandin
356,680,340,incoming
357,680,331,outandin
358,680,544,incoming
359,680,929,outandin
360,680,1041,incoming
361,680,617,incoming
362,680,508,outandin
363,680,633,outandin
364,1227,1200,outandin
365,1227,775,outandin
366,1227,652,outandin
367,1227,158,outandin
368,1227,322,outandin
369,1200,775,outandin
370,1200,652,outandin
371,1200,322,outandin
372,775,652,outandin
373,744,1104,outandin
374,916,760,outandin
375,299,144,outandin
376,299,1072,incoming
377,299,1267,incoming
378,299,205,outandin
379,547,1274,outandin
380,547,1082,outandin
381,547,600,outandin
382,1274,1082,outandin
383,1274,600,outandin
384,1082,600,outandin
385,953,176,outandin
386,953,1240,outandin
387,953,1010,outandin
388,953,282,outandin
389,953,154,outandin
390,953,1224,outandin
391,176,1240,outandin
392,176,1010,outandin
393,176,282,outandin
394,176,154,outandin
395,176,1224,outandin
396,1240,1010,outandin
397,1072,1267,incoming
398,1072,205,outandin
399,1267,205,outandin
400,212,1251,outandin
401,212,280,outandin
402,212,887,outandin
403,1135,174,outandin
404,1135,159,outandin
405,1135,630,outandin
406,1135,277,outandin
407,1135,455,outandin
408,1135,1278,outandin
409,174,159,outandin
410,174,630,outandin
411,174,277,outandin
412,174,455,outandin
413,174,1278,outandin
414,159,630,outandin
415,159,277,outandin
416,159,455,outandin
417,159,1278,outandin
418,630,277,outandin
419,630,455,outandin
420,277,455,outandin
421,676,753,outandin
422,676,268,outandin
423,676,208,outandin
424,676,614,outandin
425,753,268,outandin
426,593,1302,outandin
427,593,550,outandin
428,1302,550,outandin
429,544,1163,outandin
430,544,340,outandin
431,544,929,outandin
432,105,678,outandin
433,587,677,outandin
434,1170,1089,outandin
435,1170,371,outandin
436,1170,1076,outandin
437,1170,1127,incoming
438,1170,288,outandin
439,1089,371,outandin
440,1089,1076,outandin
441,371,1076,outandin
442,620,453,outgoing
443,620,541,outgoing
444,620,480,outandin
445,453,541,outgoing
446,453,480,outandin
447,541,480,outandin
448,623,666,outandin
449,623,72,outandin
450,623,382,outandin
451,1051,1177,outandin
452,608,415,outandin
453,1134,364,outgoing
454,308,286,outandin
455,308,771,incoming
456,282,154,outandin
457,282,1224,outandin
458,154,1224,outandin
459,721,822,outandin
460,721,1120,outandin
461,501,1018,outandin
462,287,957,outandin
463,1251,280,incoming
464,881,792,outandin
465,72,382,outandin
466,4,970,outandin
467,4,1122,outandin
468,970,1122,outandin
469,926,1319,incoming
470,926,234,incoming
471,926,1307,outandin
472,926,444,outandin
473,926,1286,outandin
474,1319,234,incoming
475,1319,1307,outandin
476,1319,444,outandin
477,1319,1286,outandin
478,567,505,outandin
479,567,472,outandin
480,505,472,outandin
481,1021,1114,outandin
482,1021,1272,outandin
483,1021,1282,outandin
484,1114,1272,outandin
485,1114,1282,outandin
486,1272,1282,outandin
487,740,810,outandin
488,740,447,outandin
489,740,849,outandin
490,810,447,outandin
491,340,331,incoming
492,340,929,outandin
493,762,362,outandin
494,208,614,outandin
495,187,1218,outandin
496,187,276,outandin
497,187,525,outandin
498,1218,276,outandin
499,1218,525,outandin
500,276,525,outandin
501,1312,699,outandin
502,848,1102,outandin
503,848,968,outandin
504,848,1112,outandin
505,1102,968,outandin
506,1102,1112,outandin
507,968,1112,outandin
508,907,1165,outandin
509,907,811,outandin
510,907,89,incoming
511,1165,811,outandin
512,1165,89,outandin
513,811,89,outandin
514,719,283,outandin
515,719,708,outandin
516,719,33,outandin
517,719,428,outandin
518,283,708,outandin
519,283,33,outandin
520,283,428,outandin
