,community,h_degree
0,0,1
1,1,3
2,2,3
3,3,1
4,4,2
5,5,2
6,6,1
7,7,4
8,8,2
9,9,3
10,10,3
11,11,2
12,12,2
13,13,2
14,14,1
15,15,1
16,16,1
17,17,2
18,18,2
19,19,5
20,20,2
21,21,2
22,22,2
23,23,1
24,24,1
25,25,1
26,26,1
27,27,3
28,28,1
29,29,4
30,30,2
31,31,2
32,32,4
33,33,1
34,34,2
35,35,1
36,36,3
37,37,2
38,38,1
39,39,3
40,40,1
41,41,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,3
47,47,3
48,48,4
49,49,1
50,50,2
51,51,2
52,52,3
53,53,5
54,54,2
