,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
0,435,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,0,1.0,"Gr̦ller, M.E.",
1,1328,2,1.0119545555241064e-69,0.0030581039755351682,0.0,1,0,1.0,"Zotti, G.",outandin
324,834,2,6.567960574534782e-37,0.009174311926605505,0.0,3,1,1.0,"Nielsen, C.B.",incoming
325,549,2,6.567960574534782e-37,0.009174311926605505,0.0,3,1,1.0,"Jackman, S.D.",outandin
326,102,2,6.567960574534782e-37,0.009174311926605505,0.0,3,1,1.0,"Birol, I.",outandin
327,580,2,6.567960574534782e-37,0.009174311926605505,0.0,3,1,1.0,"Jones, S.J.M.",outandin
4,1203,2,6.567960574534782e-37,0.009174311926605505,0.0,3,2,1.0,"Voinea, L.",outgoing
5,1149,1,6.567960574534782e-37,0.009174311926605505,0.0,3,2,1.0,"Telea, A.C.",
6,728,2,6.567960574534782e-37,0.009174311926605505,0.0,3,2,1.0,"Lommerse, G.",outandin
7,841,2,6.567960574534782e-37,0.009174311926605505,0.0,3,2,1.0,"Nossin, F.",outandin
9,126,2,0.007940301591011105,0.060124827869878564,0.0,1,3,0.28104575163398693,"Boyd, D.",outandin
264,119,2,0.007940301591011105,0.060124827869878564,0.0,1,3,0.28104575163398693,"Bostock, M.",incoming
157,1249,1,0.00961157134743249,0.060301147013191995,0.0,2,3,0.28104575163398693,"Willett, W.",incoming
82,1287,2,0.001185140315159168,0.044994947771331444,0.0,3,3,0.28104575163398693,"Xiao, L.",outandin
83,901,2,0.001185140315159168,0.044994947771331444,0.0,3,3,0.28104575163398693,"Phan, D.",outandin
84,1301,2,0.001185140315159168,0.044994947771331444,0.0,3,3,0.28104575163398693,"Yeh, R.",outandin
100,12,2,0.012471478335145275,0.06269113149847094,0.00012194893153974595,4,3,0.28104575163398693,"Agrawala, M.",incoming
158,744,2,0.012100646474593878,0.0646625507279826,0.0072231290219695685,4,3,0.28104575163398693,"Mackinlay, J.D.",outgoing
159,1104,1,0.012100646474593878,0.0646625507279826,0.0072231290219695685,4,3,0.28104575163398693,"Stolte, C.",outgoing
222,1278,2,0.002151322007694045,0.045093620902408926,0.0,4,3,0.28104575163398693,"Wu, L.",outandin
179,630,2,0.002939064437329735,0.045292271214754334,0.0,6,3,0.28104575163398693,"Klingner, J.",outgoing
180,277,2,0.002939064437329735,0.045292271214754334,0.0,6,3,0.28104575163398693,"Dong, X.",outandin
181,455,2,0.002939064437329735,0.045292271214754334,0.0,6,3,0.28104575163398693,"Halevy, A.",outandin
8,482,1,0.05925277589526747,0.07878425720880639,0.02143486988987073,7,3,0.28104575163398693,"Heer, J.",incoming
