,community,density
0,0,1.0
1,1,1.0
2,2,1.0
3,3,0.28104575163398693
4,4,0.22058823529411764
5,5,0.2573099415204678
6,6,0.22333333333333333
7,7,0.3235294117647059
8,8,0.6
9,9,1.0
10,10,1.0
11,11,1.0
12,12,0.2692307692307692
13,13,1.0
14,14,0.6
15,15,0.3333333333333333
16,16,0.6666666666666666
17,17,0.3333333333333333
18,18,1.0
19,19,1.0
20,20,1.0
21,21,0.6666666666666666
22,22,1.0
23,23,0.32727272727272727
24,24,0.2545454545454545
25,25,0.6666666666666666
26,26,0.8055555555555556
27,27,1.0
28,28,1.0
29,29,1.0
30,30,1.0
31,31,1.0
32,32,1.0
33,33,0.7
34,34,1.0
35,35,0.7
36,36,1.0
37,37,0.6
38,38,1.0
39,39,1.0
40,40,1.0
41,41,1.0
42,42,1.0
43,43,1.0
44,44,1.0
45,45,0.6666666666666666
46,46,1.0
47,47,1.0
48,48,1.0
49,49,1.0
50,50,1.0
51,51,1.0
52,52,1.0
53,53,1.0
54,54,1.0
