,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
0,954,2,2.505407101193672e-47,0.004098360655737705,0.0,1,0,1.0,"Ribler, R.",outandin
1,5,2,2.505407101193672e-47,0.004098360655737705,0.0,1,0,1.0,"Abrams, M.",outandin
2,859,2,2.505407101193672e-47,0.004098360655737705,0.0,1,1,1.0,"Overbye, T.J.",outandin
3,1229,2,2.505407101193672e-47,0.004098360655737705,0.0,1,1,1.0,"Weber, J.D.",outandin
202,34,2,2.615767064251886e-12,0.01639344262295082,0.0,4,2,1.0,"Andrews, K.",outandin
203,418,2,2.615767064251886e-12,0.01639344262295082,0.0,4,2,1.0,"Granitzer, M.",outandin
204,616,2,2.615767064251886e-12,0.01639344262295082,0.0,4,2,1.0,"Kienreich, W.",outandin
205,993,2,2.615767064251886e-12,0.01639344262295082,0.0,4,2,1.0,"Sabol, V.",outandin
206,629,2,2.615767064251886e-12,0.01639344262295082,0.0,4,2,1.0,"Klieber, W.",outandin
9,665,2,2.505407101193672e-47,0.004098360655737705,0.0,1,3,1.0,"Lalanne, D.",outandin
10,921,2,2.505407101193672e-47,0.004098360655737705,0.0,1,3,1.0,"Pu, P.",outandin
11,989,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,4,1.0,"Russo dos Santos, C.",outandin
12,429,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,4,1.0,"Gros, P.",outandin
13,2,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,4,1.0,"Abel, P.",outandin
14,727,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,4,1.0,"Loisel, D.",outandin
15,1171,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,4,1.0,"Trichaud, N.",outandin
16,872,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,4,1.0,"Paris, J.P.",outandin
17,153,2,2.615767064251886e-12,0.01639344262295082,0.0,4,5,1.0,"Buscher, M.",outandin
18,1048,2,2.615767064251886e-12,0.01639344262295082,0.0,4,5,1.0,"Shapiro, D.",outandin
19,198,2,2.615767064251886e-12,0.01639344262295082,0.0,4,5,1.0,"Christensen, M.",outandin
20,796,2,2.615767064251886e-12,0.01639344262295082,0.0,4,5,1.0,"Mogensen, P.",outandin
21,855,2,2.615767064251886e-12,0.01639344262295082,0.0,4,5,1.0,"Orbaek, P.",outandin
22,462,1,2.4486111316855156e-25,0.009221311475409836,0.0,2,6,0.8333333333333334,"Hanrahan, P.",
189,117,2,2.4486111316855156e-25,0.009221311475409836,0.0,2,6,0.8333333333333334,"Bosche, R.",outandin
23,1104,1,3.1361233659220226e-25,0.012295081967213115,1.6865681710854754e-05,3,6,0.8333333333333334,"Stolte, C.",
103,1141,2,3.1361233659220226e-25,0.012295081967213115,1.6865681710854754e-05,3,6,0.8333333333333334,"Tang, D.",outandin
25,1270,2,3.3398709564376048e-40,0.00546448087431694,0.0,1,7,0.6666666666666666,"Woodruff, A.",outandin
113,744,2,3.3398709564376048e-40,0.00546448087431694,0.0,1,7,0.6666666666666666,"Mackinlay, J.D.",
24,853,2,4.723290803170061e-40,0.00819672131147541,3.373136342170951e-05,2,7,0.6666666666666666,"Olston, C.",outandin
