,source,target,type
0,954,5,outandin
1,859,1229,outandin
2,741,138,outandin
3,741,0,outandin
4,741,439,outandin
5,741,857,outandin
6,741,903,outgoing
7,741,303,outandin
8,741,441,outandin
9,741,1288,outandin
10,741,465,outandin
11,741,691,outandin
12,138,0,outandin
13,138,439,outandin
14,138,857,outandin
15,0,439,outandin
16,0,857,outandin
17,439,857,outandin
18,665,921,outandin
19,989,429,outandin
20,989,2,outandin
21,989,727,outandin
22,989,1171,outandin
23,989,872,outandin
24,429,2,outandin
25,429,727,outandin
26,429,1171,outandin
27,429,872,outandin
28,2,727,outandin
29,2,1171,outandin
30,2,872,outandin
31,727,1171,outandin
32,727,872,outandin
33,1171,872,outandin
34,153,1048,outandin
35,153,198,outandin
36,153,796,outandin
37,153,855,outandin
38,1048,198,outandin
39,1048,796,outandin
40,1048,855,outandin
41,198,796,outandin
42,198,855,outandin
43,796,855,outandin
44,462,1104,
45,462,1141,outandin
46,1104,1141,outandin
47,1104,117,outandin
48,853,1270,outandin
49,853,744,outandin
50,1028,650,outandin
51,1028,730,outandin
52,1028,837,outandin
53,650,730,outandin
54,650,837,outandin
55,3,647,outandin
56,3,338,outandin
57,3,1334,incoming
58,647,338,outandin
59,782,493,outandin
60,782,756,outandin
61,782,49,outandin
62,782,192,outandin
63,782,581,outandin
64,782,193,outandin
65,493,756,outandin
66,1097,1310,outandin
67,1097,300,incoming
68,1097,471,outandin
69,1097,576,outandin
70,1097,232,outandin
71,1097,460,outandin
72,1097,686,outandin
73,1097,29,incoming
74,370,535,outandin
75,370,372,outandin
76,370,1133,outandin
77,535,372,outandin
78,535,1133,outandin
79,372,1133,outandin
80,103,938,outgoing
81,1297,345,outandin
82,223,1159,outandin
83,223,1263,outandin
84,223,350,outandin
85,223,584,outandin
86,223,6,outandin
87,1159,1263,
88,1159,350,incoming
89,1159,584,outandin
90,1159,6,outandin
91,1263,350,incoming
92,1263,584,outandin
93,1263,6,outandin
94,350,584,outandin
95,350,6,outandin
96,584,495,outandin
97,584,892,outandin
98,584,477,outandin
99,584,790,outandin
100,495,844,outandin
101,495,477,outandin
102,495,1140,outandin
103,495,892,outandin
104,495,790,outandin
105,844,477,outandin
106,844,1140,outandin
107,844,1023,outandin
108,844,503,outandin
109,477,892,outandin
110,477,790,outandin
111,694,22,outandin
112,1230,20,outandin
113,1230,815,outandin
114,20,815,outandin
115,244,1283,outandin
116,244,125,outandin
117,1283,125,outandin
118,300,471,outandin
119,300,576,outandin
120,471,576,outandin
121,340,1299,outandin
122,340,260,outandin
123,340,481,outandin
124,340,1227,outandin
125,1299,260,outandin
126,1299,481,outandin
127,260,481,outandin
128,1067,1164,outandin
129,1334,1336,outandin
130,1334,1337,outandin
131,1336,1337,outgoing
132,1336,627,outandin
133,1336,845,outandin
134,1336,1203,outandin
135,1336,1149,outandin
136,1337,627,outandin
137,1056,1227,outandin
138,1056,1041,outandin
139,239,302,outandin
140,648,476,incoming
141,648,789,outandin
142,476,789,outandin
143,476,762,incoming
144,476,435,outandin
145,476,997,outandin
146,476,679,outandin
147,476,274,outandin
148,892,790,outandin
149,606,464,incoming
150,606,249,incoming
151,606,522,outandin
152,606,661,outandin
153,606,1019,outandin
154,606,840,incoming
155,606,871,incoming
156,606,1066,incoming
157,606,483,outandin
158,464,249,
159,464,522,outgoing
160,464,661,outandin
161,249,522,outgoing
162,249,661,outandin
163,522,661,outandin
164,70,824,outandin
165,714,1146,outandin
166,714,101,outandin
167,714,355,outandin
168,81,130,outandin
169,903,303,outandin
170,13,1129,outandin
171,13,290,outandin
172,13,1242,outandin
173,13,91,outandin
174,13,1109,outandin
175,1129,290,outandin
176,1129,1242,outandin
177,1129,91,outandin
178,1129,1109,outandin
179,290,1242,outandin
180,290,91,outandin
181,290,1109,outandin
182,1242,91,outandin
183,1242,1109,outandin
184,91,1109,outandin
185,1141,117,outandin
186,839,214,outandin
187,839,996,outandin
188,839,917,outandin
189,839,701,outandin
190,839,1005,incoming
191,839,293,outandin
192,214,996,outandin
193,214,917,outandin
194,1320,183,outandin
195,1320,328,outandin
196,183,328,outandin
197,1019,840,outandin
198,1019,871,outandin
199,840,871,incoming
200,840,646,outandin
201,840,379,outandin
202,871,1066,incoming
203,871,483,outandin
204,1023,503,outandin
205,101,355,outandin
206,909,82,outandin
207,909,430,outandin
208,909,324,outandin
209,82,430,outandin
210,762,435,outandin
211,762,997,outandin
212,435,997,outandin
213,630,30,outandin
214,1294,1223,incoming
215,1294,985,incoming
216,1294,527,outandin
217,1294,880,outandin
218,1294,781,outandin
219,1223,985,
220,1223,972,outandin
221,1223,141,outandin
222,1223,885,outandin
223,1223,1217,outandin
224,1223,527,outandin
225,1223,880,outandin
226,1223,781,outandin
227,985,972,outandin
228,985,141,outandin
229,985,885,outandin
230,985,1217,outandin
231,985,527,outandin
232,985,880,outandin
233,985,781,outandin
234,829,526,outandin
235,1156,380,outandin
236,324,394,outandin
237,324,170,outandin
238,679,274,outandin
239,646,166,outandin
240,646,467,outandin
241,646,379,outandin
242,166,467,outandin
243,131,219,outandin
244,173,976,outandin
245,173,806,outandin
246,976,806,outandin
247,304,604,outandin
248,396,1138,outandin
249,396,160,outandin
250,396,273,outandin
251,1138,160,outandin
252,1138,273,outandin
253,160,273,outandin
254,1086,129,outandin
255,1086,266,outandin
256,129,266,outandin
257,512,1069,outandin
258,512,725,outandin
259,1069,725,outandin
